Project Name,Pos. barcode,Barcode,Part Name,Cutting Length,Cutting Width,Qty,Lenght,Width,Panel Thickness,Material Name,Face Material 1,Face Material 2,Core material,Edge 1,Edge 2,Edge 3,Edge 4,Grain
Godrej Meridien (2504),03.26Y125T4F25D3_1135,26Y125T4F25D3_1135,Rail,892.8,245.8,1,894,247,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2504),03.26Y125T4F25D3_1136,26Y125T4F25D3_1136,Partition,181.8,458.8,1,183,460,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2504),02.26Y125T4F25D3_1091,26Y125T4F25D3_1091,Right Side,2183.8,408.8,1,2185,410,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2504),02.26Y125T4F25D3_1092,26Y125T4F25D3_1092,Left Side,2183.8,408.8,1,2185,410,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2504),02.26Y125T4F25D3_1093,26Y125T4F25D3_1093,Bottom Shelf,464.8,408.8,1,466,410,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2504),02.26Y125T4F25D3_1094,26Y125T4F25D3_1094,Top Shelf,464.8,408.8,1,466,410,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2504),02.26Y125T4F25D3_1095,26Y125T4F25D3_1095,Fixed Shelf,464.8,378.8,1,466,380,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2504),02.26Y125T4F25D3_1120,26Y125T4F25D3_1120,Fixed Shelf,464.8,378.8,1,466,380,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Godrej Meridien (2404),02.26Y125T4F24D1_1007,26Y125T4F24D1_1007,Door Left,1947.8,401.8,1,1949,403,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),02.26Y125T4F24D1_1006,26Y125T4F24D1_1006,Door Right,1947.8,401.8,1,1949,403,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),04.26Y125T4F24D1_1058,26Y125T4F24D1_1058,Door Right,1947.8,381.8,1,1949,383,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),04.26Y125T4F24D1_1059,26Y125T4F24D1_1059,Filler On Set,1947.8,607.8,1,1949,609,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),01.26Y125T4F24D1_1051,26Y125T4F24D1_1051,Filler On Set,2047.8,73.8,1,2049,75,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),03.26Y125T4F24D1_1052,26Y125T4F24D1_1052,Filler On Set,2047.8,96.8,1,2049,98,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),06.26Y125T4F24D1_1053,26Y125T4F24D1_1053,Filler On Set,2047.8,96.8,1,2049,98,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),05.26Y125T4F24D1_1021,26Y125T4F24D1_1021,Door Left,1947.8,381.8,1,1949,383,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),08.26Y125T4F24D1_1047,26Y125T4F24D1_1047,Filler On Set,97.8,996.8,1,99,998,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),07.26Y125T4F24D1_1054,26Y125T4F24D1_1054,Filler On Set,97.8,996.8,1,99,998,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),11.26Y125T4F24D1_1067,26Y125T4F24D1_1067,Base Filler,808.8,98.8,1,810,100,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),12.26Y125T4F24D1_1068,26Y125T4F24D1_1068,Base Filler,1379.8,98.8,1,1381,100,17,GP_HDH17_125_OS_5900,GP_125_IRISH_CREA_MATT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,RE_75705_IRISH_CREAM_1MM,0
Godrej Meridien (2404),02.26Y125T4F24D1_1001,26Y125T4F24D1_1001,Right Side,1948.8,558.8,1,1950,560,17,GP_HDH17_5900_BS,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,HDHMR,RE_75705_IRISH_CREAM_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
